SL,School Name,District,Board,Sector,Project,Link
29,Belonia Govt. English Medium H.S School,South,CBSE,Retail,VE 24 Schools,https://docs.google.com/spreadsheets/d/1FCNyRJBi_lo9ExWq5-SbOYOeiAf8tply34LQ8SKSUnI/edit?usp=drivesdk
30,Baikhora English Medium H.S School,South,CBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1eeSlCcru7wl89gnausx1AqMdfyczybTJOA5QiymvjA4/edit?usp=drivesdk
31,Rajnagar Col. HS School,South,CBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1kKSyiLatKyIOhVQBQQI6Z85L3KA_-kaar-nhOLHtS14/edit?usp=drivesdk
32,Kadamtala H.S School,North,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1-7zXKV4sa4liftgBpBdtajzRuFFVdWQk7dx6NSszAuA/edit?usp=drivesdk
33,Kadamtala H.S School,North,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1LqsHm5lARuDlhLnD4mLy_f8HuvHEUxvOjkPY1yxeK5I/edit?usp=drivesdk
34,Baghan H.S School,North,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/11T91n62T-MqtXGEQWou_E1Wuxa9Q81sO4gFCxtppkuA/edit?usp=drivesdk
35,Anandabazar H.S School,North,CBSE,Agriculture,VE 56 Schools,https://docs.google.com/spreadsheets/d/1_n4i4kFWopqAQ5dUaE3esY6Vzl6oT7KUz0qB012_WHs/edit?usp=drivesdk
36,Anandabazar H.S. School,North,CBSE,Electronics & Hardware,VE 56 Schools,https://docs.google.com/spreadsheets/d/1n_CWisyft3C7m6_1U5EvQm0PAUcYeU_3tVRJXvweqls/edit?usp=drivesdk
37,Deocherra H.S. School,North,TBSE,Organised Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1qtfhHWFNI5r-u7XzUAC2glEhJGdg0QhOInZghOmNIZ8/edit?usp=drivesdk
38,Padmapur H.S School,North,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1wmucDd7UqOwss6EXLmTiXE_n5PDu__LkRvUwsSzsDMY/edit?usp=drivesdk
39,PMSHRI R.K Institution,Unakoti,TBSE,IT-ITeS,VE 56 Schools,https://docs.google.com/spreadsheets/d/1O9A6jChbzXb49WwqgNbIP9RuowPBW3_0J5zHQkHxScU/edit?usp=drivesdk
40,PMSHRI R.K. Institution,Unakoti,TBSE,Electronics,VE 56 Schools,https://docs.google.com/spreadsheets/d/1SHIj2VQ6qzDJeBosj2YDnwlAM2Ya1JE4evQUcucZNXI/edit?usp=drivesdk
41,Bhagini Nibedita HS School,Unakoti,CBSE,Information Technology,VE 56 Schools,https://docs.google.com/spreadsheets/d/1T5Bs1RmeOYlW-a1llj4-ZCSS6J13qfOimq0Dr7wgPIs/edit?usp=drivesdk
42,Bhagini Nibedita HS School,Unakoti,CBSE,Retail,VE 56 Schools,https://docs.google.com/spreadsheets/d/1bLuKp5-6BgdbGcjL-8P669WolN2kSlLCpjeBK7HuIFY/edit?usp=drivesdk
